index,middle,ring,pinky
0.71,0.19,0.31,0.48
0.71,0.19,0.28,0.48
0.72,0.20,0.28,0.49
0.72,0.20,0.28,0.49
0.72,0.19,0.29,0.49
0.71,0.20,0.29,0.49
0.73,0.20,0.29,0.48
0.73,0.20,0.29,0.47
0.73,0.21,0.29,0.47
0.72,0.19,0.29,0.49
0.72,0.19,0.28,0.48
0.74,0.22,0.29,0.45
0.75,0.22,0.28,0.46
0.74,0.23,0.28,0.45
0.76,0.24,0.28,0.44
0.76,0.24,0.28,0.44
0.76,0.24,0.27,0.44
0.76,0.24,0.29,0.45
0.75,0.23,0.29,0.45
0.76,0.23,0.29,0.44
0.74,0.23,0.29,0.43
0.75,0.24,0.28,0.44
0.75,0.24,0.28,0.44
0.74,0.24,0.27,0.44
0.74,0.24,0.26,0.43
0.74,0.25,0.26,0.44
0.73,0.25,0.25,0.45
0.72,0.24,0.25,0.46
0.72,0.24,0.25,0.49
0.73,0.25,0.25,0.54
0.72,0.24,0.25,0.58
0.72,0.26,0.25,0.61
0.72,0.25,0.26,0.65
0.73,0.25,0.24,0.66
0.73,0.25,0.25,0.70
0.73,0.25,0.25,0.73
0.73,0.26,0.27,0.73
0.74,0.26,0.26,0.74
0.74,0.24,0.27,0.75
0.74,0.25,0.27,0.74
0.74,0.24,0.27,0.75
0.73,0.24,0.27,0.74
0.73,0.23,0.26,0.74
0.73,0.23,0.27,0.74
0.73,0.24,0.27,0.74
0.73,0.23,0.28,0.73
0.73,0.24,0.28,0.72
0.73,0.23,0.28,0.72
0.73,0.24,0.28,0.72
0.73,0.23,0.27,0.72
0.72,0.24,0.27,0.72
0.72,0.22,0.27,0.71
0.73,0.23,0.28,0.69
0.72,0.23,0.28,0.70
0.72,0.22,0.27,0.68
0.73,0.23,0.28,0.69
0.73,0.22,0.28,0.70
0.73,0.23,0.28,0.68
0.73,0.23,0.28,0.69
0.72,0.22,0.29,0.70
0.73,0.22,0.28,0.69
0.72,0.22,0.29,0.68
0.72,0.21,0.26,0.68
0.73,0.23,0.28,0.68
0.72,0.23,0.27,0.68
0.73,0.24,0.28,0.69
0.73,0.23,0.28,0.69
0.73,0.23,0.28,0.68
0.73,0.23,0.28,0.69
0.72,0.23,0.26,0.70
0.72,0.24,0.28,0.67
0.72,0.23,0.28,0.67
0.73,0.22,0.28,0.68
0.73,0.22,0.29,0.66
0.72,0.22,0.28,0.66
0.73,0.23,0.28,0.65
0.72,0.23,0.28,0.65
0.73,0.23,0.28,0.66
0.72,0.23,0.29,0.67
0.72,0.22,0.28,0.67
0.72,0.22,0.28,0.67
