index,middle,ring,pinky
0.33,0.21,0.32,0.34
0.32,0.19,0.33,0.34
0.34,0.00,0.34,0.34
0.34,0.21,0.34,0.33
0.33,0.21,0.33,0.33
0.33,0.20,0.32,0.34
0.34,0.21,0.34,0.35
0.34,0.21,0.34,0.35
0.35,0.22,0.33,0.35
0.33,0.00,0.34,0.35
0.32,0.21,0.34,0.34
0.34,0.22,0.33,0.35
0.34,0.21,0.34,0.35
0.31,0.21,0.34,0.35
0.27,0.21,0.34,0.35
0.28,0.21,0.33,0.35
0.28,0.21,0.35,0.34
0.27,0.17,0.33,0.35
0.27,0.00,0.34,0.35
0.28,0.21,0.33,0.35
0.29,0.21,0.34,0.34
0.30,0.12,0.35,0.35
0.29,0.00,0.34,0.34
0.28,0.00,0.34,0.35
0.27,0.00,0.34,0.35
0.29,0.22,0.33,0.35
0.28,0.21,0.34,0.35
0.28,0.00,0.34,0.35
0.28,0.20,0.35,0.35
0.29,0.21,0.34,0.35
0.29,0.00,0.34,0.35
0.29,0.00,0.35,0.35
0.30,0.21,0.32,0.35
0.28,0.20,0.31,0.35
0.30,0.22,0.31,0.34
0.28,0.00,0.32,0.35
0.30,0.21,0.32,0.35
0.30,0.00,0.32,0.34
0.29,0.20,0.32,0.35
0.30,0.20,0.32,0.35
0.29,0.19,0.33,0.34
0.31,0.20,0.33,0.35
0.32,0.20,0.32,0.32
0.32,0.21,0.33,0.35
0.31,0.19,0.33,0.35
0.32,0.20,0.32,0.35
0.30,0.19,0.32,0.35
0.32,0.21,0.32,0.35
0.31,0.21,0.32,0.34
0.32,0.22,0.33,0.33
0.32,0.21,0.33,0.32
0.30,0.20,0.32,0.33
0.31,0.21,0.31,0.33
0.32,0.21,0.32,0.34
0.31,0.21,0.32,0.33
0.31,0.21,0.32,0.32
0.32,0.21,0.33,0.33
0.32,0.21,0.33,0.32
0.32,0.21,0.32,0.33
0.31,0.20,0.32,0.33
